"Species href","Species-common","Species-sci","Obs-count","Icon href","is-visuallyHidden 2","Obs-date href","Obs-date","is-visuallyHidden 3","Obs-observer","is-visuallyHidden 4","Obs-location-name","Obs-location-name href","Icon href 4","is-visuallyHidden 5","is-visuallyHidden 6"
"https://ebird.org/species/rensap/US-OR-051","Red-naped Sapsucker","Sphyrapicus nuchalis","1","[object Object]","Date:","https://ebird.org/checklist/S62493954","11 May 2003","Observer:","Tim Shelmerdine","Location:","Larch Mountain Rd.","https://ebird.org/region/L2289719?rank=lrec","[object Object]","Show details","Details:"
"https://ebird.org/species/mcclon/US-OR-051","Thick-billed Longspur","Rhynchophanes mccownii","1","[object Object]","Date:","https://ebird.org/checklist/S97380773","7 Jan 2003","Observer:","Oregon Bird Records Committee OBRC","Location:","Rivergate Industrial Area","https://ebird.org/region/L1607244?rank=lrec","[object Object]","Show details","Details:"
"https://ebird.org/species/prafal/US-OR-051","Prairie Falcon","Falco mexicanus","1","[object Object]","Date:","https://ebird.org/checklist/S50320884","20 Dec 2002","Observer:","Wink Gross","Location:","Sauvie Island-Mult","","[object Object]","Show details","Details:"
"https://ebird.org/species/amered/US-OR-051","American Redstart","Setophaga ruticilla","1","[object Object]","Date:","https://ebird.org/checklist/S10229459","17 Sep 2002","Observer:","Wink Gross","Location:","Pittock Mansion","https://ebird.org/region/L447392?rank=lrec","[object Object]","Show details","Details:"
"https://ebird.org/species/rocwre/US-OR-051","Rock Wren","Salpinctes obsoletus","1","[object Object]","Date:","https://ebird.org/checklist/S229068232","14 Jun 2002","Observer:","Oregon Birds Historical Data","Location:","Larch Mountain","https://ebird.org/region/L447386?rank=lrec","[object Object]","Show details","Details:"
"https://ebird.org/species/bkbwoo/US-OR-051","Black-backed Woodpecker","Picoides arcticus","1","[object Object]","Date:","https://ebird.org/checklist/S229067642","2 Jun 2002","Observer:","Oregon Birds Historical Data","Location:","Multnomah Falls (above)","","[object Object]","Show details","Details:"
"https://ebird.org/species/astfly/US-OR-051","Ash-throated Flycatcher","Myiarchus cinerascens","1","[object Object]","Date:","https://ebird.org/checklist/S229068560","22 May 2002","Observer:","Oregon Birds Historical Data","Location:","Sandy River Delta Park","https://ebird.org/region/L728130?rank=lrec","[object Object]","Show details","Details:"
"https://ebird.org/species/sursco/US-OR-051","Surf Scoter","Melanitta perspicillata","3","[object Object]","Date:","https://ebird.org/checklist/S229067337","15 Dec 2001","Observer:","Oregon Birds Historical Data","Location:","Bybee Lake","","[object Object]","Show details","Details:"
"https://ebird.org/species/redpol1/US-OR-051","Redpoll","Acanthis flammea","2","[object Object]","Date:","https://ebird.org/checklist/S229068260","29 Nov 2001","Observer:","Oregon Birds Historical Data","Location:","Oaks Bottom Wildlife Refuge","https://ebird.org/region/L453974?rank=lrec","[object Object]","Show details","Details:"
"https://ebird.org/species/snoegr/US-OR-051","Snowy Egret","Egretta thula","1","[object Object]","Date:","https://ebird.org/checklist/S229068263","19 Oct 2001","Observer:","Oregon Birds Historical Data","Location:","Oaks Bottom Wildlife Refuge","https://ebird.org/region/L453974?rank=lrec","[object Object]","Show details","Details:"
"https://ebird.org/species/lotjae/US-OR-051","Long-tailed Jaeger","Stercorarius longicaudus","1","[object Object]","Date:","https://ebird.org/checklist/S10229682","23 Aug 2001","Observer:","Wink Gross","Location:","Pittock Mansion","https://ebird.org/region/L447392?rank=lrec","[object Object]","Show details","Details:"
"https://ebird.org/species/sumtan/US-OR-051","Summer Tanager","Piranga rubra","1","[object Object]","Date:","https://ebird.org/checklist/S98374865","7 May 2001","Observer:","Oregon Bird Records Committee OBRC","Location:","Mt. Tabor Park","https://ebird.org/region/L447381?rank=lrec","[object Object]","Show details","Details:"
"https://ebird.org/species/yebsap/US-OR-051","Yellow-bellied Sapsucker","Sphyrapicus varius","1","[object Object]","Date:","https://ebird.org/checklist/S10229586","16 Apr 2001","Observer:","Wink Gross","Location:","Pittock Mansion","https://ebird.org/region/L447392?rank=lrec","[object Object]","Show details","Details:"
"https://ebird.org/species/snoowl1/US-OR-051","Snowy Owl","Bubo scandiacus","1","[object Object]","Date:","https://ebird.org/checklist/S50308243","29 Nov 2000","Observer:","Wink Gross","Location:","Mt. Tabor Park","https://ebird.org/region/L447381?rank=lrec","[object Object]","Show details","Details:"
"https://ebird.org/species/acowoo/US-OR-051","Acorn Woodpecker","Melanerpes formicivorus","X","[object Object]","Date:","https://ebird.org/checklist/S25108404","16 Sep 2000","Observer:","Jeff Acuff","Location:","Sauvie Island (Multnomah Co.)","https://ebird.org/region/L712038?rank=lrec","","",""
